data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer2,48,PRCAPosDef,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9899651408195496
butterfly,layer2,48,PRCASortAbs,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9899434447288513
butterfly,layer2,48,PCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9882880449295044
butterfly,layer2,48,GradPCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9782436490058899
butterfly,layer2,64,PRCAPosDef,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9916353225708008
butterfly,layer2,64,PRCASortAbs,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9899557828903198
butterfly,layer2,64,PCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9882962703704834
butterfly,layer2,64,GradPCA,"SelectNSamples(N=50, total=12812, [-4.46, 12.68])",select-50,0.9882907867431641
butterfly,layer2,1,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.5
butterfly,layer2,1,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.5
butterfly,layer2,1,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.5
butterfly,layer2,1,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.5
butterfly,layer2,16,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.8481686115264893
butterfly,layer2,16,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.8284868001937866
butterfly,layer2,16,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.7642622590065002
butterfly,layer2,16,PCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.5865043997764587
butterfly,layer2,32,PRCASortAbs,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9881460070610046
butterfly,layer2,32,GradPCA,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9828928709030151
butterfly,layer2,32,PRCAPosDef,"SelectNSamplesOppositeSide(N=50, total=12812, [-31.21, 8.06])",select-opposite-side-50,0.9766208529472351
